,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Laguna,100,BZ,100,16.17,-88.94,296.15,0.23
1,Canton,90,US,74,40.8,-81.38,276.48,7.2
2,Punta Arenas,100,CL,66,-53.16,-70.91,283.15,5.1
3,bhola,90,PK,100,32.66,73.89,279.15,1.27
4,Port Alfred,77,ZA,83,-33.59,26.89,292.04,3.64
5,Jamestown,0,AU,18,-33.21,138.6,298.5,6.55
6,Hilo,20,US,61,19.71,-155.08,299.15,3.1
7,Dikson,100,RU,91,73.51,80.55,261.41,12.23
8,Bredasdorp,97,ZA,63,-34.53,20.04,291.15,1.5
9,Puerto Ayora,49,EC,85,-0.74,-90.35,296.48,2.24
10,Gizo,3,IL,61,31.8,34.94,283.15,3.6
11,Nikolskoye,90,RU,93,59.7,30.79,277.15,6.0
12,Santa Fe,92,AR,88,-31.62,-60.7,299.26,0.89
13,Kjollefjord,97,NO,76,70.95,27.35,269.52,8.24
14,Sochi,90,RU,75,43.6,39.73,281.15,2.99
15,Buraydah,9,SA,71,26.33,43.97,284.15,1.5
16,Leningradskiy,100,RU,93,69.38,178.42,246.19,9.37
17,Sitka,0,US,78,37.17,-99.65,268.71,4.45
18,Saint George,75,GR,64,39.45,22.34,277.15,3.6
19,Sahuaripa,33,MX,56,29.05,-109.23,281.24,1.38
20,Furmanov,90,RU,100,57.25,41.11,274.15,6.0
21,Butaritari,100,KI,77,3.07,172.79,301.76,5.47
22,Ancud,3,CL,87,-41.87,-73.83,282.15,2.6
23,Shu,100,KZ,87,43.6,73.76,273.15,0.76
24,Mataura,47,NZ,49,-46.19,168.86,299.8,1.36
25,Albany,90,US,86,42.65,-73.75,274.82,3.03
26,Belyy Yar,40,RU,77,53.6,91.39,259.15,1.18
27,Carnarvon,0,ZA,85,-30.97,22.13,287.17,6.15
28,Cape Town,20,ZA,72,-33.93,18.42,291.48,9.3
29,Tonekabon,22,IR,87,36.82,50.88,283.15,3.61
30,Kavaratti,40,IN,74,10.57,72.64,302.15,2.47
31,Codrington,97,AU,48,-28.95,153.24,305.15,6.2
32,Hambantota,100,LK,88,6.12,81.12,300.15,3.1
33,Port Elizabeth,90,US,93,39.31,-74.98,280.93,5.1
34,Lebu,9,ET,84,8.96,38.73,282.48,1.05
35,Ushuaia,40,AR,45,-54.81,-68.31,282.15,8.7
36,Kirakira,7,SB,72,-10.46,161.92,300.31,1.83
37,Avarua,100,CK,78,-21.21,-159.78,298.15,2.1
38,Tayshet,100,RU,96,55.94,98.01,259.29,1.33
39,Yulara,0,AU,30,-25.24,130.99,307.15,3.6
40,Saryg-Sep,100,RU,88,51.49,95.55,252.55,0.91
41,Severo-Kurilsk,100,RU,86,50.68,156.12,270.87,9.71
